filename,cmax,state,runtime,best_solution_time
aslib0_117a.RCP,92,Optimal,0.33,0.039
aslib0_118a.RCP,97,Optimal,0.075,0.061
aslib0_119a.RCP,95,Optimal,0.087,0.068
aslib0_120a.RCP,93,Optimal,0.043,0.03
aslib0_121a.RCP,86,Optimal,0.045,0.037
aslib0_122a.RCP,99,Optimal,0.05,0.042
aslib0_123a.RCP,95,Optimal,0.175,0.11
aslib0_124a.RCP,93,Optimal,0.043,0.035
aslib0_125a.RCP,93,Optimal,0.073,0.031
aslib0_126a.RCP,91,Optimal,0.095,0.075
aslib0_127a.RCP,114,Optimal,0.079,0.058
aslib0_128a.RCP,92,Optimal,0.08,0.064
aslib0_129a.RCP,91,Optimal,0.088,0.062
aslib0_130a.RCP,88,Optimal,0.098,0.057
aslib0_131a.RCP,98,Optimal,0.085,0.067
aslib0_132a.RCP,88,Optimal,0.059,0.05
aslib0_133a.RCP,108,Optimal,0.146,0.122
aslib0_134a.RCP,83,Optimal,0.134,0.081
aslib0_135a.RCP,94,Optimal,0.079,0.065
aslib0_136a.RCP,91,Optimal,0.098,0.067
aslib0_137a.RCP,90,Optimal,0.088,0.068
aslib0_138a.RCP,89,Optimal,0.078,0.058
aslib0_139a.RCP,105,Optimal,0.175,0.061
aslib0_140a.RCP,99,Optimal,0.075,0.044
aslib0_141a.RCP,80,Optimal,0.047,0.031
aslib0_142a.RCP,94,Optimal,0.095,0.044
aslib0_143a.RCP,92,Optimal,0.137,0.115
aslib0_144a.RCP,83,Optimal,0.094,0.073
aslib0_145a.RCP,85,Optimal,0.051,0.039
aslib0_146a.RCP,92,Optimal,0.222,0.199
aslib0_147a.RCP,98,Optimal,0.076,0.05
aslib0_148a.RCP,90,Optimal,0.995,0.052
aslib0_149a.RCP,86,Optimal,0.118,0.085
aslib0_150a.RCP,94,Optimal,0.114,0.089
aslib0_151a.RCP,101,Optimal,0.088,0.051
aslib0_152a.RCP,79,Optimal,0.073,0.045
aslib0_153a.RCP,88,Optimal,0.096,0.05
aslib0_154a.RCP,88,Optimal,0.118,0.086
aslib0_155a.RCP,86,Optimal,0.163,0.068
aslib0_156a.RCP,89,Optimal,0.141,0.091
aslib0_157a.RCP,85,Optimal,0.191,0.096
aslib0_158a.RCP,81,Optimal,0.113,0.069
aslib0_159a.RCP,99,Optimal,0.448,0.032
aslib0_160a.RCP,84,Optimal,0.033,0.026
aslib0_161a.RCP,112,Optimal,0.096,0.086
aslib0_162a.RCP,99,Optimal,0.093,0.059
aslib0_163a.RCP,91,Optimal,0.055,0.046
aslib0_164a.RCP,84,Optimal,0.077,0.051
aslib0_165a.RCP,88,Optimal,1.666,0.092
aslib0_166a.RCP,81,Optimal,0.172,0.073
aslib0_167a.RCP,109,Optimal,0.072,0.051
aslib0_168a.RCP,81,Optimal,0.505,0.25
aslib0_169a.RCP,95,Optimal,0.854,0.228
aslib0_170a.RCP,90,Feasible,5.031,0.277
